
********** Community [6] ************

Id: 944, Community ID: 18, Is Centroid: False

Id: 1014, Community ID: 18, Is Centroid: False

Id: 1018, Community ID: 18, Is Centroid: False

Id: 1281, Community ID: 18, Is Centroid: False

Id: 1331, Community ID: 18, Is Centroid: False

Id: 1420, Community ID: 18, Is Centroid: False

Id: 1568, Community ID: 18, Is Centroid: False

Id: 1642, Community ID: 18, Is Centroid: False

Id: 1683, Community ID: 18, Is Centroid: False

Id: 1695, Community ID: 18, Is Centroid: False

Id: 1915, Community ID: 18, Is Centroid: False

Id: 1962, Community ID: 18, Is Centroid: False

Id: 2119, Community ID: 18, Is Centroid: False

Id: 2260, Community ID: 18, Is Centroid: False

Id: 2299, Community ID: 18, Is Centroid: False

Id: 2424, Community ID: 18, Is Centroid: False

Id: 2508, Community ID: 18, Is Centroid: False

Id: 2546, Community ID: 18, Is Centroid: False

Id: 2614, Community ID: 18, Is Centroid: False

Id: 2723, Community ID: 18, Is Centroid: False

Id: 2734, Community ID: 18, Is Centroid: False

Id: 2778, Community ID: 18, Is Centroid: True

Id: 2785, Community ID: 18, Is Centroid: False

Id: 2810, Community ID: 18, Is Centroid: False

Id: 2896, Community ID: 18, Is Centroid: False

Id: 2989, Community ID: 18, Is Centroid: False

Id: 3083, Community ID: 18, Is Centroid: False

Id: 3130, Community ID: 18, Is Centroid: False

Id: 3354, Community ID: 18, Is Centroid: False

Id: 3388, Community ID: 18, Is Centroid: False

Id: 3507, Community ID: 18, Is Centroid: False

Id: 3746, Community ID: 18, Is Centroid: False

Id: 3747, Community ID: 18, Is Centroid: False

Id: 3840, Community ID: 18, Is Centroid: False

Id: 4040, Community ID: 18, Is Centroid: False

Id: 4077, Community ID: 18, Is Centroid: False

Id: 4229, Community ID: 18, Is Centroid: False

Id: 4237, Community ID: 18, Is Centroid: False

Id: 4243, Community ID: 18, Is Centroid: False

Id: 4296, Community ID: 18, Is Centroid: False

Id: 4484, Community ID: 18, Is Centroid: False

Id: 4621, Community ID: 18, Is Centroid: False

Id: 4696, Community ID: 18, Is Centroid: False

Id: 4697, Community ID: 18, Is Centroid: False

Id: 4778, Community ID: 18, Is Centroid: False

Id: 5332, Community ID: 18, Is Centroid: False

Id: 5480, Community ID: 18, Is Centroid: False

Id: 5707, Community ID: 18, Is Centroid: False

Id: 5713, Community ID: 18, Is Centroid: False

Id: 5880, Community ID: 18, Is Centroid: False

Id: 5948, Community ID: 18, Is Centroid: False

Id: 5980, Community ID: 18, Is Centroid: False

Id: 6007, Community ID: 18, Is Centroid: False

Id: 6008, Community ID: 18, Is Centroid: False

Id: 6064, Community ID: 18, Is Centroid: False

Id: 6219, Community ID: 18, Is Centroid: False

Id: 6393, Community ID: 18, Is Centroid: False

Id: 6451, Community ID: 18, Is Centroid: False

********** Community [19] ************

Id: 19, Community ID: 19, Is Centroid: False

Id: 28, Community ID: 19, Is Centroid: False

Id: 84, Community ID: 19, Is Centroid: False

Id: 217, Community ID: 19, Is Centroid: False

Id: 228, Community ID: 19, Is Centroid: False

Id: 593, Community ID: 19, Is Centroid: False

Id: 594, Community ID: 19, Is Centroid: False

Id: 650, Community ID: 19, Is Centroid: False

Id: 731, Community ID: 19, Is Centroid: False

Id: 797, Community ID: 19, Is Centroid: False

Id: 1082, Community ID: 19, Is Centroid: False

Id: 1155, Community ID: 19, Is Centroid: False

Id: 1157, Community ID: 19, Is Centroid: False

Id: 1210, Community ID: 19, Is Centroid: False

Id: 1312, Community ID: 19, Is Centroid: False

Id: 1323, Community ID: 19, Is Centroid: False

Id: 1370, Community ID: 19, Is Centroid: False

Id: 1397, Community ID: 19, Is Centroid: False

Id: 1495, Community ID: 19, Is Centroid: False

Id: 1527, Community ID: 19, Is Centroid: False

Id: 1616, Community ID: 19, Is Centroid: False

Id: 1628, Community ID: 19, Is Centroid: False

Id: 1649, Community ID: 19, Is Centroid: False

Id: 1699, Community ID: 19, Is Centroid: False

Id: 1774, Community ID: 19, Is Centroid: False

Id: 1780, Community ID: 19, Is Centroid: False

Id: 1856, Community ID: 19, Is Centroid: False

Id: 2060, Community ID: 19, Is Centroid: False

Id: 2073, Community ID: 19, Is Centroid: False

Id: 2189, Community ID: 19, Is Centroid: False

Id: 2229, Community ID: 19, Is Centroid: False

Id: 2247, Community ID: 19, Is Centroid: False

Id: 2309, Community ID: 19, Is Centroid: False

Id: 2328, Community ID: 19, Is Centroid: False

Id: 2432, Community ID: 19, Is Centroid: False

Id: 2588, Community ID: 19, Is Centroid: False

Id: 2673, Community ID: 19, Is Centroid: False

Id: 2689, Community ID: 19, Is Centroid: False

